text,ipc_codes,APPLN_YR
"Self-resetting warning actuator for a dual circuit brake system A self-resetting warning actuator for a dual circuit brake system, comprising a pair of aligned pistons slidably arranged within a bore and exposed at their outer ends to the pressures in respective brake circuits, and means responsive to the movement of said pistons from a neutral position to a failed position in response to a pressure differential between said circuits for providing a warning signal.In accordance with the invention, the bore (44) is formed with a recess (58) and connecting ramps (60, 62), the contiguous inner ends (64, 66) of the pistons (50, 54) are shaped frusto-conical, and at least one roller member (48) engages both piston ends as well as the bottom of the recess in the neutral position, and moves along one of the ramps while spreading the pistons apart from each other when they move to a failed position.For use in automotive dual circuit brake systems.","B60T17, H01H35",1982
"Payload relative change requesting apparatus and transmission apparatus containing the same Pointer action in an SDH transmission apparatus is performed in a temporally evenly dispersed manner. Timings of a received VC-4 clock and a transmit VC-4 clock, whose portions corresponding to overhead are inhibited in a clustered fashion, are evened out by a receiving-side PLL circuit and a transmitting-side PLL circuit, respectively, after which their phases are compared in a phase comparator to generate a justification request. In another aspect of the present invention, the phase comparison is made between VC-4 clocks whose clock inhibit timings are dispersed. In a further aspect of the present invention, a justification request arising from a frequency difference between the transmitting and receiving sides is combined with the justification contained in the received frame.","H04Q11, H04J3",1999
"Log name exchange for recovery of protected resources A computer network comprises first and second computers, each having a recovery facility for recovering a two-phase commit procedure and a recovery log. The log comprises a log name log which stores the names of other logs involved in a commit scope and a sync point log which stores sync point phase information. The log names are exchanged prior to a request for sync point. If a failure occurs during sync point, each recovery facility in the commit scope again exchanges log names to verify that there was not a log failure since the prior exchange. Absent a log failure, the logs are used to recover from the sync point failure. Communication facilities are interposed between the first and second computers and include log name exchange tables which record the previous exchanges of log names between the first and second computers. If a protected conversation is initialized from the first computer to the second computer and log names were not previously exchanged, then the communication facilities intercept the conversation and hold it until log names are exchanged.","G06F9, G06F11",1991
"ANTACID AND LAXATIVE TABLETS An antacid and laxative tablet comprising magnesium oxide particles as an effective component, wherein
(i) the magnesium oxide particles contained in the tablet have an average secondary particle diameter measured by a laser diffraction scattering method of 0.5 to 10 µm,(ii) the content of magnesium oxide particles in the tablet is 88 wt% or more,(iii) the tablet does not become blackish and has substantially no tableting spot, and(iv) the disintegration time is 10 sec or less.The antacid and laxative tablet of the present invention has a high content of magnesium oxide particles, a short disintegration time, does not become blackish, has no tablet trouble and no tableting spot and is suitably administered orally.","A61K9, A61P1, A61K47, A61K33",2004
"Method and apparatus for transporting electrographic sheets Disclosed herein is a method and apparatus for transporting discrete, electrostatic image-bearing sheets (S) of photoconductive film along a path past a magnetic brush development station (10) of an electrographic copier. To prevent the leading edge of successive film sheets from plowing through the brush nap (N) and thereby causing developer contamination of the rear surface of the sheets, the lead edge of each sheet is overlapped with the trailing edge of the preceding sheet before it arrives at the brush nap. By this arrangement, the leading edge of such successive sheet is shielded from the brush nap by the preceding sheet. The apparatus of the invention comprises first and second sheet transport means (18a, 20, M1; 18b, 32, 34, M2) which function to advance the film sheets toward the development station at one velocity and through such station at a slower velocity. The downstream transport means (18b) also functions to locate the trailing edge of a sheet advanced thereby in a position to allow the leading edge of a faster moving succeeding sheet to overlap.",G03G15,1984
"NEW SYNTHETIC PATH TO PHARMACEUTICALLY ACCEPTABLE VISMODEGIB The present invention relates to a new route of synthesis to obtain pharmaceutically acceptable Vismodegib. In addition, besides the synthesis also suitable pharmaceutical compositions and the use of the compound for the treatment of basal-cell carcinomas are disclosed.
","C07D213, A61P35, A61K31",2018
"Device for packaging, mixing and applying bone cement A device (1) for packaging, mixing and applying bone cement obtainable from at least one first component (A) and one second component (B), comprising: a first container (2), in which the first component is packaged hermetically and which is provided with an opening (5) that is associated with first temporary closure means; a second substantially cylindrical container, which is provided with an outlet that is associated with second temporary closure means (6); and piston means (13), which are inserted so that they can slide hermetically within the second container (2) and can be actuated from outside with a rectilinear motion; the second component is packaged between the outlet and the piston means; the opening and the outlet are temporarily mutually associable, and the piston means are suitable to push the second component from the second container to the first container for mixing with the first component and to aspirate the cement thus formed from the first container into the second container.","A61F2, B01F13, A61J1, B05C17, A61B17",2004
"Pyrido [3,4-f]pyrrolo[1,2-b][1,2,5]triazepines, a process for their preparation and their use as medicaments The present invention relates to pyrido [3,4-f] pyrrolo[1,2-b] [1,2,5] triazepines of formula
 wherein R¹ is alkyl, arylalkyl, or aminoalkyl; R² is hydrogen, alkyl, arylalkyl, aminoalkyl, aryl or a group of the formula
 wherin d is an integer having a value of zero or 1 and R⁵ is hydrogen, alkyl, arylalkyl or aminoalkyl; R³ is hydrogen or alkyl, or together with R² constitutes a radical of the formula = 0; R⁴ is hydrogen, alkyl, arylalkyl, aminoalkyl, formyl, lowercarbonyl, aminocarbonyl, arylaminocarbonyl, or a group of the formula
 wherein W is carbon or nitrogen, Ar is aryl, q is zero to 2, p is zero or 1; X is halogen, alkyl, alkenyl, formyl or alkanol; m is zero or 1; the dotted line is an optional bond; and a, b, and c, are zero or one. The compounds of the invention exhibit analgesic, antidepressant, antiinflammatory and/or memory enhacing activity and can, therefore, be used as medicaments.","C07D471, C07D221:00, C07D255:00, C07D209:00, A61K31",1990
"AMYLOID FIBER FORMATION LIMITER OR INHIBITOR The object of the present invention is to provide a formulation with the effect of effectively suppressing or inhibiting amyloid fibril formation by the dissolution, elimination (discharge), etc. of amyloid fibril formation in vivo.If an agent for suppressing or inhibiting an amyloid fibril formation comprising tranilast or a pharmacologically acceptable salt thereof as an active ingredient is administered by a method such as oral administration, amyloid fibril formation can be effectively suppressed or inhibited in vivo as a result of effects such as amyloid fibril dissolution or elimination (discharge). Therefore, it is possible to prevent or treat amyloid plaques, in which amyloid fibrils formed by the aggregation of amyloid protein have been deposited, and to prevent or treat diseases arising from amyloid fibril deposition, that is, diseases arising from the deposited amyloid fibrils themselves and diseases that cause dysfunction of organs or tissues as a result of amyloid fibril deposition.","A61P17, A61P25, A61P43, A61K31",2022
"METHOD OF TRANSPORTING FLUID There is provided a method for transporting a fluid, in which even if the fluid is transported for a long period of time, dehydration after transportation is not needed, and the transported fluid can be used immediately after transportation. Specifically, there is provided a method for transporting a fluid, comprising steps of: dehydrating some of the transportation fluid during transportation by using a dehydration system comprising a separation membrane through which water permeates, and returning the dehydrated fluid to the transportation fluid so as to keep water content in the transportation fluid in a fixed range. In one embodiment, the transportation fluid is a liquid, and the dehydration system comprises a heater for heating the liquid to a temperature in a range in which the liquid does not boil, and a membrane separation apparatus for dehydrating the heated liquid, wherein the membrane separation apparatus is a PV method apparatus comprising a primary side chamber extending in an up and down direction to introduce the liquid from a lower portion thereof and discharge it from an upper portion thereof, a separation membrane in contact with the primary side chamber to allow water in the liquid to permeate through as a gas, and a secondary side chamber being located on the opposite side to the primary side chamber with the separation membrane held therebetween and being under a pressure lower than that in the primary side chamber.","B01D61, B01D71, B67D5, C10L1, B01D63",2009
"STRUCTURE AND METHOD FOR PRODUCING SAME A structure 10 includes: a first member 11 made of metal having a tubular shape, and having a through-insertion hole 11a; a second member 12 made of resin and joined to the first member 11; and a third member 13 made of metal having a tubular shape, and inserted through inside the first member 11. The third member 13 is tube-expanded toward the first member 11 and joined to the first member 11 by press-fitting.","B21D39, B29C65, B21D53, B29C45",2022
"LITHIUM SECONDARY BATTERY AND METHOD FOR PRODUCING SAME A rechargeable lithium battery including a negative electrode made by depositing a noncrystalline thin film composed entirely or mainly of silicon on a current collector, a positive electrode and a nonaqueous electrolyte, characterized in that said nonaqueous electrolyte contains carbon dioxide dissolved therein.","H01M10, H01M4",2006
"Tool having integral hinge member The present invention relates to hinged tools such as scissors, shears, pruners, or the like, having a force applying end with formed handles (20) and an opposed working end consisting of a pair of blades (12,14) disposed across a hinged joint (24) through which a force may be transmitted. In these tools the handles (20), which are formed integrally with the hinge (24), are provided with ridge support in the form of heel elements (26) to establish suitable contact between the blades (12,14).","B26B13, B25B7",1994
"Method of inhibiting corrosion of aluminium tubes by toothpastes The tendency of gel toothpastes comprising silica thickeners, such as silica aerogel or precipitated silica, and a fluoride source, such as sodium monofluorophosphate or fluoride, to corrode aluminium tubes can be reduced by incorporating at least 0.01 % by weight sodium or potassium hydroxide or carbonate, so that the pH of the toothpaste is at least 8.5.","C23F11, A61K7",1980
"Method for reclaiming a surface of a substrate The invention relates to a method for reclaiming a surface of a substrate, wherein the surface, in particular a silicon surface, comprises a protruding residual topography, comprising at least the layer of a first material. By providing a filling material in the non-protruding areas of the surface of the substrate and the subsequent polishing, the reclaiming can be carried out such that the material consuming double-sided polishing step used in the prior art is no longer necessary.
",H01L21,2010
"CIRCUIT, COMMUNICATION UNIT AND METHOD FOR VCO FREQUENCY ADJUSTMENT A circuit comprises a frequency generation circuit (322) comprising a phase locked loop, PLL, arranged to generate a carrier frequency; and a controller (308) operably coupled to the frequency generation circuit and arranged to determine a frequency location of one or more signals output by the frequency generation circuit (322) and provide a control signal thereto to adjust the carrier frequency generated by the frequency generation circuit (322). The controller (308) is arranged to: cooperate with the PLL to introduce a frequency offset in the generated carrier frequency in a first frequency direction; and introduce a compensating frequency offset in a baseband transmit signal in a second frequency direction opposite to the first frequency direction.
","H03L7, H04L27",2016
"USER EQUIPMENT AND BASE STATION PERFORMING TRANSMISSION AND RECEPTION OPERATIONS The present disclosure relates to a user equipment, a base station and respective methods. The user equipment (UE) receives a single uplink grant for a plurality of PUSCH transmissions. The single uplink grant comprises an antenna port field with an index value that is to be used for the plurality of PUSCH transmissions. The UE determines time-domain resources based on the received uplink grant. The determined time-domain resources prescribe a number of PUSCH transmissions and a length of each of the number of PUSCH transmissions. The UE transmits the number of PUSCH transmissions using the determined time-domain resources. Each of the number of PUSCH transmissions comprises at least one front-loaded demodulation reference signal, DMRS. In particular, the UE determines a number of symbols to be used for each of the at least one front-loaded DMRS of the number of PUSCH transmissions based on the received index value, and, in case at least two of the number of PUSCH transmissions have different lengths, and in case different numbers of symbols are permissible for each of the at least one front-loaded DMRS, the UE transmits the same or a smaller number of PUSCH transmissions such that, for none of the comprised at least one front-loaded DMRS, a different determined numbers of symbols is used.
","H04L1, H04W72, H04L27, H04L5",2020
"Liquid crystal display device A liquid crystal display comprising two transparent substrates with transparent elecrodes formed thereon and a liquid crystal layer sandwiched between said transparent substrates, wherein a display pattern portion where a prescribed voltage is applied becomes transparent and a display pattern portion where no voltage is applied is in a scattered (opaque) state, said liquid crystal display being characterized by the inclusion of a display pattern portion (2902) and its wiring portion (2903) which are formed by said transparent electrode on at least either one of said transparent substrates, a transparent insulating layer (2904) covering said transparent electrode at least in said wiring portion, and another transparent electrode (2905) formed on said insulating layer.",G02F1,2002
"Multiple layer multifocal composite lens Aspects of the present invention provide multiple-layer (multi-layer) composite lenses comprising two or more materials and methods for making the same. A multi-layer composite lens of the present invention can use multiple surfaces (internal or external) to form optical elements that can contribute to a total desired add power. The multiple contributing optical elements can be aligned so as to be in optical communication to form multiple stable vision zones to enhance optical performance and the vision experience of the wearer.; Distributing the total desired add power across multiple appropriately aligned optical elements that are in optical communication with one another can reduce the total distortion of the lens, minimize the number of optical discontinuities introduced, can reduce optical power jump as experienced by the wearer's eye when traversing any discontinuity, and can reduce the visibility of any introduced optical discontinuity as perceived by an observer looking at the wearer
",G02C7,2011
"Dehydrated potato flakes Dehydrated potato flakes prepared from potato slices, slivers and/or nubbins suitable for use in dough compositions used to make fabricated products. The dehydrated flakes are prepared such that the physical properties in the flake are controlled during processing. The resulting flakes can be used to prepare a more cohesive, non-adhesive, machineable dough.",A23L1,2005
"Recording medium for sublimation type heat-sensitive transfer recording process A recording medium for sublimation type heat-sensitive transfer recording process, in which an image receiving layer comprising a resin composition containing a dyeable resin and at least one phosphite antioxidant shown in Formulas (1), (2), or (3) is formed on a substrate surface. This recording medium for sublimation type heat-sensitive recording methods has extremely superior light resistance, and the image recorded on this recording medium suffers little fade out or discoloration as a result of exposure to light, so that this recording medium is expected to contribute greatly to the spread of video printers and the like.

 (In Formula (1), R₁ and R₂ represent H or an alkyl group having a number of carbon atoms within a range of 1-20, R₃ and R₄ represent alkyl groups having a number of carbon atoms within a range of 1-20, X represents H or an atomic group having 1-10 carbon atoms as a main skeleton thereof, and n has a value of 1, 2, 3, or 4.)

 (In Formula (2), R₅ and R₆ represent H or an alkyl group having a number of carbon atoms within a range of 1-20, R₇ represents an alkyl group having a number of carbon atoms within a range of 1-20, Y represents H or an atomic group having 1-10 carbon atoms as a main skeleton thereof, and n has a value of 1, 2, 3, or 4.)

 (In Formula (3), R₈, R₉, R₁₀, and R₁₁ represent H or an alkyl group having a number of carbon atoms within a range of 1-20, Z represents H or an atomic group having 1-10 carbon atoms as a main skeleton thereof, and n has a value of 1, 2, 3, or 4.)",B41M5,1993
"Memory controller with a programmable strobe delay A memory controller is providing that has a clock line (7) for a clock signal; a data bus (2) for connecting to at least one memory module (3, 4, 5); a data latch (6) connected to the data bus (2), for latching data under control of a strobe signal; and a programmable delay (20) for providing the strobe signal in programmed timing relation to the clock signal. The programmable delay comprises, for example, a programmable delay line connected between the clock line (1) and an enabling input (9) of the data latch (6). This arrangement permits the timing of the strobe signal to be adjusted to compensate for changes in memory configuration and other system parameters.",G06F13,1998
"System for measurement The present invention relates to a non-contact system for sensing and measuring a property or characteristic of a web material moving along a feed path, the system comprising a fixed support structure (14) arranged with a passage through which the web material (13) moves along the feed path, sensors (10,12) positioned adjacent opposite sides of the web, distance holding means for holding the sensors substantially evenly spaced from said web at a distance (d) between said sensors, a light source (36) emitting a light beam onto each side of the web at an angle, a beam splitter (40) arranged with each sensor, for diverting a part of said light beam, light receiving means (44) fixedly attached to said support structure adjacent said first and second sensors respectively, and capable of receiving said diverted part of the light beam as well as light reflected from said web from the light beam emitted onto said web, means for calculating the air gap between each of said sensors and said web from information of the received light beams, and means for calculating the thickness of said web from the calculations of the air gaps and from the measured distance between the sensors.
",G01B11,2008
"Undersea optical and electrical distribution apparatus An optical and electrical distribution apparatus for use in an undersea communications system comprises:
first, second and third connectors (21, 22, 25) suitable for attaching first, second and
third cables (3, 24) to the apparatus, the connectors being arranged for connecting an electrical conductor of the cables to an electrical unit and for connecting an optical conductor of the cables to an optical unit,
wherein the optical unit comprises at least one of an add module (33) arranged for directing optical signals from the third connector to at least one of the first and
second connectors and a drop module (33) arranged for directing optical signals from at least one of the first and second connectors to the third connector and,
wherein the electrical unit an electric converter (42) adapted to extract power from the first or second connector and to supply power to the third connector.
","H04B10, H04B3",2011
"Vehicular headlamp and vehicle provided with same A lower reflector (3), disposed in a opening (23) of an upper reflector (2) to reflect conventionally unused light, is rotatablc relative to the upper reflector (2), thereby changing a dispersed light-distribution pattern (WP) with respect to a fixed reference light-distribution pattern (LP), with an improvement in visibility when the vehicle negotiates a curve.","F21V14, F21W101:10, F21S8, B60Q1",2001
"A device for milking an animal A device for milking an animal, such as a cow, provided with a milking machine with a teat cup (3) to be connected to a teat (5) of an animal, said teat cup (3) being provided with at least one temperature sensor (6), said device being provided with an activating device for activating the temperature sensor (6). The activating device is also suitable for deactivating the temperature sensor (6).
",A01J5,2006
"Image displaying with multi-gradation processing A video signal processing apparatus processes an input video signal for displaying an image based on the video signal. Detected is a gradation level of the input video signal. A color saturation level of the input video signal is depressed in a predetermined color saturation level range only when the detected gradation level is located in a predetermined gradation level range. A first input video signal having a first gradation level (or number of bits) is converted into a second video signal having a second gradation level (or number of bits) that is lower (or smaller) than first gradation level (or number of bits), for displaying an image based on the input video signal. Error data is generated in response to a data portion of the first input video signal. The data portion corresponds to a difference between the first and the second gradation levels (or number of bits). The error data is obtained by multiplying the data portion by predetermined error diffusion coefficients according to pixel dots that surround a pixel dot composed of R(red)-, G(green)- and B(blue)-signal components of the first input video signal. At least one of the number of bits of the error diffusion coefficients for one of the R-, G- and B-signal components is different from the other number of bits of the error diffusion coefficients for the other signal components The generated error data is added to the first input video signal to convert the first input video signal into the second video signal. Reverse-gamma correction may be applied to the first input video signal before conversion.",G09G3,2001
"Wet friction material A wet friction material for use in brake and clutch plates of a large sized construction vehicle which possesses porosity in the range of 2 to 85 %, preferably 9 to 72 %. The material is formed by preparing a matrix of heat-resistant fibers in the form of felt, impregnating said matrix with heat-resistant resin capable of acquiring, on curing, a smaller modulus of compressive elasticity than the fibers, and thereafter curing the impregnant in the resultant composite.",F16D69,1985
"DIGITAL PRINTING DEVICE A digital printing device, comprising a suction transport means (1). The suction transport means (1) comprises a transport belt (11) used for transporting a sheet material. At least one first suction box (14), which is used for sucking the sheet material on the transport belt (11) by means of negative pressure during transport, is provided in the space defined by the transport belt (11). Multiple first suction holes in communication with the first suction box (14) are provided on the transport belt (11). At least one side of the first suction box (14) is provided with a movable door (15) which moves in a direction perpendicular to the transport direction to make the first suction box (14) fit the sheet material to maintain a negative pressure state. By transporting sheet materials using the transport belt (11) during printing, the digital printing device avoids the problem of poor registration accuracy, and improves the printing effect. Moreover, by providing the movable door (15) on the first suction box (14), the present invention makes the width of the first suction box (14) to precisely fit the width of the sheet material, so that sheet materials of different specifications can be transported in corresponding negative pressure suction areas, thereby avoiding air leakage and bringing a good negative pressure suction effect.","B65H5, B41J11",2019
"SURGICAL ROBOT BASED ON BALL AND SOCKET JOINT AND TACTILE FEEDBACK, AND CONTROL DEVICE THEREOF A surgical robot based on a ball-and-socket joint and tactile feedback is provided. The ball-and-socket joint includes a spherical member and a joint socket. A first roller and a second roller are arranged in the joint socket to drive a three-dimensional rotation of the spherical member in the joint socket. A sensor is arranged in the joint socket to sense the three-dimensional rotation of the spherical member in the joint socket. A first channel tube, a second channel tube and a surgical instrument are arranged sequentially in a center of the spherical member.","A61B34, A61B17",2021
"BALE WRAP MECHANISM A bale wrap mechanism for wrapping a bale (42) with wrap material (46) is described. The bale wrap mechanism comprising: a frame (14) including a wrap chute (114) formed from one or more perimeter walls (222), wherein the wrap chute (114) includes a wrap axis (238) extending longitudinally therethrough, wherein the one or more perimeter walls (222) at least partially define a passageway (226) through which a bale (42) may be passed, and wherein the perimeter walls (222) form one or more notches (250) through which the wrap material (46) may contact a bale (42); a wrap arm (258) having a mounting point (262) movable with respect to the frame (14); a roll (272) of wrap material (46) coupleable to the mounting point (262) of the wrap arm (258); and a brake assembly (276) configured to adjust the tension of a wrap material (46), wherein the mounting point (262) is configured to travel along a wrap path (280) during a wrap process, and wherein the wrap path (280) includes a plurality of segments each separated from one another by a notch (250), and wherein the brake assembly (276) is configured to adjust the tension wrap material (46) in each segment independently.
",A01F15,2018
"METHOD AND APPARATUS FOR RESTORING IMAGE Provided is a method and apparatus for restoring an image, the apparatus including a plurality of lenses configured to pass a plurality of rays, a sensor including a target sensing element configured to receive a target ray passing a first lens among the plurality of lenses, and a second sensing element configured to receive a second ray passing a second lens among the plurality of lenses, the first lens being different from the second lens, and a processor configured to determine the second sensing element based on a difference between a direction of the target ray and a direction of the second ray, and to restore color information corresponding to the target sensing element based on color information detected by the second sensing element.
","H04N9, H04N5",2019
"SAMPLE ANALYSIS SYSTEM AND CONTROL METHOD THEREFOR, AND SAMPLE ANALYSIS METHOD The present invention relates to the technical field of automated analysis, and provides a sample analysis system and a control method for the same and a sample analysis method. The sample analysis system includes: a control device; a rail device for carrying cuvettes under control of the control device; at least one independent sample distribution node arranged on the rail device for distributing samples to the cuvettes, the independent sample distribution node being used for sample aspiration, transfer, and discharge; and at least two independent reagent distribution and measurement nodes arranged on the rail device for distributing test reagents to the cuvettes and measuring the mixture liquid in the cuvettes, the independent reagent distribution and measurement nodes being used for reagent aspiration, transfer, and discharge and reagent-sample mixture liquid measurement. Using cuvettes as the medium and employing independent sample distribution nodes and reagent distribution and measurement nodes that are combined and connected via rails, a fully automated analysis system with high freedom and high expandability is provided.",G01N35,2021
"A SYSTEM AND METHOD FOR CONTROLLING ENERGY CONSUMPTION IN A VEHICLE A system, method and computer program product for controlling energy consumption in a vehicle (1) during driving of a route, the method comprising the steps of determining an energy consumption strategy for the route, wherein the energy consumption strategy comprises a total energy budget for a plurality of energy consuming vehicle components (10a, 10b, 10c, 10d, 20a, 20b, 20c, 20d); determining a value of an actual consumed total energy (ACTE) at at least a first route position (P1) along the route; determining a difference value (Dv) based on a difference in the actual consumed total energy value (ACTEv) and a predicted consumed total energy value (PCTEv); and determining an altered operation of at least one of the plurality of energy consuming vehicle components (10a, 10b, 10c, 10d, 20a, 20b, 20c, 20d).
",B60L15,2020
"Roller Bottle for trans-membrane co-culture of cells and method for its use A roller bottle for trans-membrane co-culture of cells includes an exterior receptacle with a longitudinal axis having a first chamber surrounded by a sidewall. The exterior receptacle has a first neck at one end having an opening therethrough providing fluid access to said first chamber. The roller bottle further includes an interior container with a longitudinal axis and a second chamber, the interior container being located coaxially within the exterior receptacle. The interior container has a second neck at one end providing fluid access to the second chamber. The exterior receptacle is formed from a material that is substantially impermeable to gas and liquid and is sealed in a substantially fluid tight fashion forming the first chamber that has fluid access by the first neck. At least a portion of the interior container is formed from a microporous material. The roller bottle of the invention enables culturing one cell type in the presence of another cell type for the study of interactions between the cells while maintaining a physical separation between the cell types providing a scale up in cell population size from well type inserts. The microporous membrane allows free interchange of media soluble cellular products between the cell types, but maintains physical separation.",C12M3,1996
"Modular tile with positioning means for use with an access floor panel system A modular tile for an access floor panel system wherein the tile includes a mechanism for positively locating the tile on an access floor panel so as to be replaceable and removable without the use of indexing tools or fixtures through the tile's bottom surface or the panel's top surface and having a configuration which orients the tile to the access floor panel, the size of the tile being consistent and modular with each and every access floor panel in the access floor panel system.",E04F15,1984
"Fibre optic probe comprising a mode converting fibre A bi-directional fibre optic spectroscopy probe comprises fibres, each having a proximal and a distal end and a numerical aperture for coupling light into said proximal end of said fibres and for collecting light emerging from said proximal end, and an optical sensor arranged near said distal end. Said in/out coupler has incoupling means that couple light into said proximal end of said fibres, and outcoupling means that collect light emerging from said proximal end of said fibres with an angle to thus enable the optical in/out coupler to couple higher order modes of light into said fibres and to collect back lower order modes of light emerging from said proximal end of said fibres, wherein said fibres operate as a converter of propagating light modes from said higher order modes of light into said lower order modes of light.
","G02B6, G01N21",2010
"COMMUNICATION TERMINAL DEVICE AND SPREAD CODE ESTIMATION METHOD A despreading and RAKE combining section 107 despreads a data portion using all spreading codes and RAKE combines the despread signal, and an average value calculating section 108 calculates average power values (RAKE output average values) of all spreading codes from the RAKE combining result. A threshold setting section 110 uses a minimum value of the RAK output average values by the plurality of spreading codes allocated to the own station as a threshold setting reference value and sets a threshold value at a position lowered by a predetermined width from the reference value. A spreading code determining section 111 performs threshold determination between a RAKE output average value obtained from the spreading codes excepting for the spreading codes allocated to the own station and determines the spreading code, which corresponds to the RAKE output average value exceeding the threshold value, as the spreading code multiplexed into the received signal. A JD operating section 112 performs JD operation using the spreading codes multiplexed into the received signal. This makes it possible to accurately estimate the spreading codes multiplexed into the received signal even when the number of candidates for the number of spreading codes corresponding to one common midamble is multiple.",H04B1,2005
"Accelerometer An accelerometer is having a single pendulum-type acceleration sensitive element, the movement of the pendulum moving a pointer through a gear arrangement such that scale graduations on a face of the instrument may be linear or of other character. Auxiliary pointers are provided so as to indicate the maximum positive and negative values of acceleration experienced by the instrument, maintaining always the highest magnitude reading attained. The recording auxiliary pointers are manually resettable from outside the instrument of the invention.  ",G01P15,1989
"Quinoline derivatives, processes for their preparation, their use, pharmaceutical compositions containing them and a method for the preparation of these pharmaceutical compositions The invention is concerned with novel quinicine and cinchonicine derivatives having cardiovascular activities of the formula or a salt thereof,
in which A-B is -CH2-CH2, -CHOH-CH2-, -CH2-CHOH-, -C(O)-CH2-. -CH2-C(O)-, -C(NOR4)-CH2-or -CH2-C(NOR4)-; R1 is hydrogen, hydroxy or lower alkoxy; R2 is ethyl or vinyl; R3 is C2-8 alkyl, C1-8 hydroxyalkyl, lower alkoxy-alkyl or lower alkanoyloxyalkyl, C3-6 cycloalkyl, hydroxycycloalkyl, lower alkoxycycloalkyl or lower alkanoyloxycycloalkyl, cycloalkyl lower alkyl, hydroxy-, lower alkoxy- or lower alkanoyloxycycloalkyl lower alkyl; cyano, cyano lower alkyl, lower alkenyl, lower alkynyl, tetrahydrofuryl, mono- or di-lower alkylamino lower alkyl, mono- or di-lower alkylamino lower hydroxy alkyl; optionally substituted phenyl, phenyl lower alkyl or phenyl hydroxy lower alkyl, optionally substituted diphenyl lower alkyl, optionally substituted phenyl lower alkenyl, optionally substituted benzoyl or benzoyl lower alkyl, optionally substituted heteroaryl or heteroaryl lower alkyl, or optionally substituted heteroaryl or heteroaroyl lower alkyl, R4 is lower alkyl, and Z is hydrogen, lower alkyl or optionally substituted phenyl, or Z and R3 together with the carbon atom to which they are attached form a C3-6 cycloalkyl group, whereby the substituents at the 3- and 4-position of the piperidine ring are in the cis-position, excluding N-[C2-6 alkyl, C2-6 hydroxyalkyl, NN-di-lower alkylamino lower alkyl, optionally substituted C7-11 aralkyl] substituted derivatives of quinicine and cinchonicine.The compounds of the formula may be in the form of their optically active enantiomers and/or their therapeutically acceptable salts.Methods for the preparation of the compounds of the formula are also disclosed and form part of the invention.","C07D215:12, C07D211:26, C07D401, C07D215:14, C07D211:32, C07D211:28, A61K31",1981
"Child-resistant cabinet lock This is a continuation-in-part of United States Patent Application Serial No. 06/800,549, filed November 21, 1985.The present invention provides a child resistant lock for a door drawer or the like. The lock comprises a base which is secured to the inside face of the door drawer or the like. A primary finger push mechanism is positioned to be manipulable by an adult's middle finger and is movably connected to the base. A pair of secondary finger push mechanisms are movably secured to the base and are located on either side of the primary finger push mechanism. The secondary finger push mechanisms are manipulably operable by the index and third fingers of an adult. The lock also has obstruction means which are normally positioned in locking position to prevent manipulation of the secondary finger push mechanisms and are movably associated with the primary finger push mechanism so as to be movable upon manipulation of the primary finger push mechanism away from locking position to free the secondary finger push mechanisms for manipulation. Catch means are   operatively associated with the secondary finger push mechanisms to be moved, on manipulation of the secondary finger push mechanisms, away from a rest position obstructing the opening of the door drawer or the like. The primary and secondary finger push mechanisms are arranged for manipulation by a single directional thrust of the adult operator's hand. The lock provides sequential operation of its parts and is engineered to be operable by a hand the since of an adults. hereby preventing most young children from operating it.  ",E05B37,1989
"An X-ray image diagnosis system and method X-ray images are displayed at both high-resolution and high-illumination with annotation superimposed in registration therewith to point out suspected abnormalities identified through a process in which the x-ray images are digitized and the digitized information is subjected to feature extraction processing. For example, the x-ray images are displayed at high resolution and high illumination in the form of x-ray film images displayed on a light box while the annotation information is selectively superimposed on the same image by a separate imaging system co-acting with the light box. In this manner, the radiologist can view either the x-ray film alone, in the conventional manner, or the same x-ray film, at the same position and at the same high resolution and at the same or substantially the same illumination level but with annotation information superimposed and in registration therewith. In addition, alternative ways are disclosed for displaying the high resolution x-ray image and for selectively superimposing the annotation information thereon.",G06F19,1995
"Vehicle restraint A vehicle restraint comprises an elongate housing (10) in which a rod (12), captive to axial movement, is journalled in supports (14) for rotational movement. The rod (12) has a screw-threaded portion. Power means are provided at one end of the rod (12) to impart, when energised, rotational movement to the rod (12). A sleeve (22) has a tapped portion (23) carried in threaded engagement on the rod (12) and movable along the rod (12) on rotation thereof. The sleeve (22) has diametrically opposed bearing pins (24). A cam (34) has two walls (36) of substantial parallelogram shape with each wall (36) having a slot (38) at or near the transition between two adjacent sides (40) having an obtuse angle therebetween. The walls (40) are positioned one on each side of the sleeve (22) with the pins (24) entering respective slots (38) in the walls (40). The connection of the cam (34) to the sleeve (22) is rearward in each direction of travel. A restraint lever arm (46) is fast with the cam (34) and extends laterally from the housing (10).",B65G69,2000
